Nova SBE — MSc Management — Courses 2025/26;;;;;;;
Course Code;Period;Course Name;ECTS;Faculty;Type;Also Available In;Notes
2330;T3;Consumer Behavior;3,5;Arnaud Monnier;Elective;International MSc Management;
2217;T3;Corporate Governance;3,5;António Nogueira Leite;Elective;International MSc Management;
2239;T3;Corporate Valuation;3,5;Rosário André;Elective;International MSc Management;
2616;T3;Cracking the Sales Code;3,5;Filipe Simões de Almeida;Elective;International MSc Management;
2389;T3;Customer Relationship Management;3,5;Elizabete Cardoso;Elective;International MSc Management;
2218;T3;Derivatives;3,5;Gustavo Freire;Elective;International MSc Management;
2134;T3;Economics of Education;3,5;Rita Pereira;Elective;International MSc Management;
2135;T3;Economics of Health and Health Care;3,5;Pedro Pita Barros;Elective;International MSc Management;
2332;T3;Entrepreneurship;3,5;Nadim Habib;Elective;International MSc Management;
2416;T3;Family Business;3,5;Alexandre Dias da Cunha;Elective;International MSc Management;
2273;T3;Fintech Ventures;3,5;Afonso Eça;Elective;International MSc Management;
2490;T3;Geoeconomics and International Relations;3,5;Paulo Portas;Elective;International MSc Management;
2334;T3;Global Human Resources Management;3,5;Filipa Rodrigues;Elective;International MSc Management;
2657;T3;Hospitality Operations Management;3,5;Francisco Moser;Elective;International MSc Management;
2795;T3;Innovations in the Experience Economy;3,5;Euclides Major;Elective;International MSc Management;
2337;T3;Integrated Marketing Communications;3,5;Jorge Velosa;Elective;International MSc Management;
2338;T3;International Business;3,5;Yannick Wiessner;Elective;International MSc Management;
2339;T3;International Marketing Strategy;3,5;António Marinho Torres;Elective;International MSc Management;
2196;T3;International Migration;3,5;Cátia Batista;Elective;International MSc Management;
2465;T3;Open Innovation;3,5;Paolo Leone;Elective;International MSc Management;
2635;T3;Organizing for Good in the Digital Age;3,5;Paolo Leone;Elective;International MSc Management;
2770;T3;Power and Social Change;3,5;Samantha Ortiz;Elective;International MSc Management;
2236;T3;Private Equity;3,5;Luís Mota Duarte;Elective;International MSc Management;
2481;T3;Product Design and Development;3,5;João Castro;Elective;International MSc Management;
2352;T3;Quality Management;3,5;Ana Sofia Costa;Elective;International MSc Management;
2614;T3;Revenue Management;3,5;Duarte Pimentel;Elective;International MSc Management;
2667;T3;Service Excellence;3,5;Sander Allegro;Elective;International MSc Management;
2643;T3;Social Media Marketing;3,5;António Marinho Torres;Elective;International MSc Management;
2699;T3;Sports Club Management;3,5;Luís Vilar;Elective;International MSc Management;
2646;T3;Strategic Costing;3,5;Marta Almeida;Elective;International MSc Management;
2496;T3;Strategic Foresight and Scenario Planning;3,5;António Alvarenga;Elective;International MSc Management;
2668;T3;Sustainability Evaluation of Policies, Plans and Projects;3,5;Tomás Ramos & João Joanaz;Elective;International MSc Management;
2715;T3;Sustainable Tourism;3,5;Graham Miller;Elective;International MSc Management;
2633;T3;System Change;3,5;Ricardo Zózimo;Elective;International MSc Management;
2752;T3;Team Dynamics in Organizations;3,5;Sai Kalvapalle;Elective;International MSc Management;
2656;T3;Work & Family;3,5;Jenny Hoobler;Elective;International MSc Management;
2791;T4;Advanced Product Design;3,5;João Castro;Elective;International MSc Management;
2663;T4;AI Impact on Business;3,5;Rodrigo Belo;Elective;International MSc Management;
2685;T4;Applied Quantitative Studies;3,5;Guang Zeng;Elective;International MSc Management;
2215;T4;Auditing;3,5;Gonçalo Silva & Mário Freire;Elective;International MSc Management;
2448;T4;Business Model Innovation;3,5;João Castro;Elective;International MSc Management;
2330;T4;Consumer Behavior;3,5;Arnaud Monnier;Elective;International MSc Management;
2375;T4;Corporate Social Responsibility;3,5;João Loureiro Rodrigues;Elective;International MSc Management;
2239;T4;Corporate Valuation;3,5;Rosário André;Elective;International MSc Management;
2616;T4;Cracking the Sales Code;3,5;Filipe Simões de Almeida;Elective;International MSc Management;
